user_id,touchpoint_id,touchpoint_time,channel,campaign,device_type,country,touchpoint_position,total_touchpoints,converted,conversion_id,revenue_gbp,media_cost_gbp,first_touch_credit,last_touch_credit,linear_credit,position_based_credit,time_decay_raw,time_decay_credit,first_touch_revenue,last_touch_revenue,linear_revenue,position_based_revenue,time_decay_revenue
USER-100007,TP-7-1,2025-01-12 14:00:00,Display,display_retargeting,Desktop,India,1,4,1,ORD-200007,23.41,0.59,1.0,0.0,0.25,0.4,0.125,0.06666666666666667,23.41,0.0,5.8525,9.364,1.5606666666666666
USER-100007,TP-7-2,2025-01-13 09:00:00,Referral,community_referral,Desktop,India,2,4,1,ORD-200007,23.41,0.1,0.0,0.0,0.25,0.1,0.25,0.13333333333333333,0.0,0.0,5.8525,2.341,3.1213333333333333
USER-100007,TP-7-3,2025-01-14 16:00:00,Referral,partner_referral,Desktop,India,3,4,1,ORD-200007,23.41,0.09,0.0,0.0,0.25,0.1,0.5,0.26666666666666666,0.0,0.0,5.8525,2.341,6.242666666666667
USER-100007,TP-7-4,2025-01-14 12:00:00,Paid Social,lookalike_social,Desktop,India,4,4,1,ORD-200007,23.41,0.88,0.0,1.0,0.25,0.4,1.0,0.5333333333333333,0.0,23.41,5.8525,9.364,12.485333333333333
USER-100011,TP-11-1,2025-01-23 18:00:00,Paid Search,brand_search,Mobile,United States,1,6,1,ORD-200011,136.12,1.36,1.0,0.0,0.16666666666666666,0.4,0.03125,0.015873015873015872,136.12,0.0,22.686666666666667,54.44800000000001,2.1606349206349207
USER-100011,TP-11-2,2025-01-23 09:00:00,Paid Search,brand_search,Mobile,United States,2,6,1,ORD-200011,136.12,1.17,0.0,0.0,0.16666666666666666,0.05,0.0625,0.031746031746031744,0.0,0.0,22.686666666666667,6.806000000000001,4.321269841269841
USER-100011,TP-11-3,2025-01-28 07:00:00,Referral,blog_referral,Mobile,United States,3,6,1,ORD-200011,136.12,0.07,0.0,0.0,0.16666666666666666,0.05,0.125,0.06349206349206349,0.0,0.0,22.686666666666667,6.806000000000001,8.642539682539683
USER-100011,TP-11-4,2025-02-01 10:00:00,Email,newsletter,Mobile,United States,4,6,1,ORD-200011,136.12,0.03,0.0,0.0,0.16666666666666666,0.05,0.25,0.12698412698412698,0.0,0.0,22.686666666666667,6.806000000000001,17.285079365079365
USER-100011,TP-11-5,2025-02-06 22:00:00,Direct,direct_none,Mobile,United States,5,6,1,ORD-200011,136.12,0.02,0.0,0.0,0.16666666666666666,0.05,0.5,0.25396825396825395,0.0,0.0,22.686666666666667,6.806000000000001,34.57015873015873
USER-100011,TP-11-6,2025-02-07 14:00:00,Organic Search,seo_blog,Mobile,United States,6,6,1,ORD-200011,136.12,0.13,0.0,1.0,0.16666666666666666,0.4,1.0,0.5079365079365079,0.0,136.12,22.686666666666667,54.44800000000001,69.14031746031746
USER-100051,TP-51-1,2025-03-05 13:00:00,Paid Social,lookalike_social,Desktop,United States,1,1,1,ORD-200051,176.34,0.75,1.0,1.0,1.0,1.0,1.0,1.0,176.34,176.34,176.34,176.34,176.34
USER-100054,TP-54-1,2025-01-14 19:00:00,Paid Social,prospecting_social,Desktop,France,1,4,1,ORD-200054,118.75,1.13,1.0,0.0,0.25,0.4,0.125,0.06666666666666667,118.75,0.0,29.6875,47.5,7.916666666666667
USER-100054,TP-54-2,2025-01-22 12:00:00,Paid Social,prospecting_social,Desktop,France,2,4,1,ORD-200054,118.75,0.92,0.0,0.0,0.25,0.1,0.25,0.13333333333333333,0.0,0.0,29.6875,11.875,15.833333333333334
USER-100054,TP-54-3,2025-01-27 22:00:00,Organic Search,seo_category,Desktop,France,3,4,1,ORD-200054,118.75,0.09,0.0,0.0,0.25,0.1,0.5,0.26666666666666666,0.0,0.0,29.6875,11.875,31.666666666666668
USER-100054,TP-54-4,2025-01-29 12:00:00,Email,basket_recovery,Desktop,France,4,4,1,ORD-200054,118.75,0.04,0.0,1.0,0.25,0.4,1.0,0.5333333333333333,0.0,118.75,29.6875,47.5,63.333333333333336
USER-100056,TP-56-1,2025-01-23 18:00:00,Paid Search,shopping_ads,Desktop,France,1,2,1,ORD-200056,47.59,1.26,1.0,0.0,0.5,0.4,0.5,0.3333333333333333,47.59,0.0,23.795,19.036,15.863333333333333
USER-100056,TP-56-2,2025-02-04 20:00:00,Paid Search,shopping_ads,Desktop,France,2,2,1,ORD-200056,47.59,1.2,0.0,1.0,0.5,0.4,1.0,0.6666666666666666,0.0,47.59,23.795,19.036,31.726666666666667
USER-100066,TP-66-1,2025-02-19 10:00:00,Paid Social,lookalike_social,Mobile,United States,1,3,1,ORD-200066,63.01,1.26,1.0,0.0,0.3333333333333333,0.4,0.25,0.14285714285714285,63.01,0.0,21.00333333333333,25.204,9.001428571428571
USER-100066,TP-66-2,2025-02-23 17:00:00,Organic Search,seo_blog,Mobile,United States,2,3,1,ORD-200066,63.01,0.11,0.0,0.0,0.3333333333333333,0.2,0.5,0.2857142857142857,0.0,0.0,21.00333333333333,12.602,18.002857142857142
USER-100066,TP-66-3,2025-02-24 09:00:00,Email,basket_recovery,Mobile,United States,3,3,1,ORD-200066,63.01,0.04,0.0,1.0,0.3333333333333333,0.4,1.0,0.5714285714285714,0.0,63.01,21.00333333333333,25.204,36.005714285714284
USER-100073,TP-73-1,2025-02-11 09:00:00,Organic Search,seo_blog,Mobile,Germany,1,5,1,ORD-200073,72.35,0.15,1.0,0.0,0.2,0.4,0.0625,0.03225806451612903,72.35,0.0,14.469999999999999,28.939999999999998,2.333870967741935
USER-100073,TP-73-2,2025-02-12 08:00:00,Organic Search,seo_product,Mobile,Germany,2,5,1,ORD-200073,72.35,0.1,0.0,0.0,0.2,0.06666666666666667,0.125,0.06451612903225806,0.0,0.0,14.469999999999999,4.823333333333333,4.66774193548387
USER-100073,TP-73-3,2025-02-18 17:00:00,Organic Search,seo_blog,Mobile,Germany,3,5,1,ORD-200073,72.35,0.1,0.0,0.0,0.2,0.06666666666666667,0.25,0.12903225806451613,0.0,0.0,14.469999999999999,4.823333333333333,9.33548387096774
USER-100073,TP-73-4,2025-02-19 18:00:00,Display,display_prospecting,Mobile,Germany,4,5,1,ORD-200073,72.35,0.64,0.0,0.0,0.2,0.06666666666666667,0.5,0.25806451612903225,0.0,0.0,14.469999999999999,4.823333333333333,18.67096774193548
USER-100073,TP-73-5,2025-03-02 08:00:00,Paid Social,retargeting_social,Mobile,Germany,5,5,1,ORD-200073,72.35,0.96,0.0,1.0,0.2,0.4,1.0,0.5161290322580645,0.0,72.35,14.469999999999999,28.939999999999998,37.34193548387096
